index,year,NOx,NMVOC,SO2,NH3,PM2.5,PM10,TSP,BC,CO
Aviation,2001,9.075984995298949,1.0129983272013101,0.5902608242319618,0.11942722519275491,0.10692841086776905,0.10692841086776905,0.11187766292960562,0.04682833059525361,13.300698465396044
Aviation,2002,8.998407639178708,1.0027114826760117,0.5871893310643114,0.11880553081416093,0.10749843314629681,0.10749843314629681,0.11246105041397467,0.04710267898432934,13.35971250224276
Aviation,2003,9.206113115645145,1.0109761926945409,0.5957387752645984,0.1205358525706843,0.1078126144519239,0.1078126144519239,0.11276261596940855,0.04727383921339687,13.428008623113847
Aviation,2004,9.309586152135262,0.9703931527663003,0.5941620226549833,0.12021892233974119,0.1054740142473772,0.1054740142473772,0.11006924112258173,0.04648308512718927,12.818446093580093
Aviation,2005,10.614930491915295,1.0654279165086933,0.6683665854847642,0.13523538383719,0.11546951911952515,0.11546951911952515,0.1202490156010865,0.050956980179442626,13.615214172552166
Aviation,2006,11.093881877119456,1.104741242617714,0.6961859562897801,0.14086637947071473,0.11677672931745114,0.11677672931745114,0.12141168949705637,0.05177176615476636,13.787702224961585
Aviation,2007,11.592782241649465,1.122745797678824,0.716196485163795,0.14491603584475238,0.116557704565114,0.116557704565114,0.12120807084514973,0.05159961164114389,13.870682977150786
Aviation,2008,11.761838957268562,1.1078272735838348,0.7185727505917183,0.14539784724743432,0.1117241067339782,0.1117241067339782,0.11622738239309119,0.04957836801277626,13.608525833219465
Aviation,2009,11.612496424492894,1.02573238199819,0.692340586616732,0.14009103123863936,0.10686081807425227,0.10686081807425227,0.1110257489166799,0.04737538340373111,12.639854118006944
Aviation,2010,11.573304445969185,0.9889634090760235,0.6812318052658208,0.1378446895305213,0.10411993249478776,0.10411993249478776,0.10798057146781134,0.046280623252070274,12.122122194546701
Aviation,2011,11.00736011569951,0.9303310949466186,0.6412131010884526,0.1297449290988019,0.09735475642775004,0.09735475642775004,0.10133558841550645,0.04314165605814296,11.659790642254698
Aviation,2012,11.922999042444426,0.9712041617313412,0.6910828950993055,0.1398386373775956,0.1026751718996035,0.1026751718996035,0.10649101189543742,0.045849806610068336,12.025749694464377
Aviation,2013,12.065507349914169,0.9840844709317556,0.6940802229488425,0.14044557224804793,0.10216908977112577,0.10216908977112577,0.10593056259079474,0.04565702363129958,11.928543901342403
Aviation,2014,11.723542911666076,0.9587901846429809,0.6688635999421557,0.13534186021325878,0.09719739207226462,0.09719739207226462,0.10101569805608088,0.04325574999231867,11.700374872127853
Aviation,2015,11.871220236138239,0.9906852984341887,0.6767052608947588,0.13692793724729133,0.09902165659984234,0.09902165659984234,0.10299114570007412,0.04381777404539511,12.015610215363154
Aviation,2016,12.99263535897764,1.031936273236098,0.7291808857208275,0.14754945738722125,0.10235778152104323,0.10235778152104323,0.10608977817813324,0.04585453012564426,12.078840083420825
