,year,pollutant,amount
183,2010,NH3,618.9154813554619
184,2010,PM2.5,119.7400788478578
185,2010,PM10,227.7719715901679
186,2010,TSP,395.5717796396802
187,2010,BC,22.728389903842196
188,2010,CO,3617.107139534604
189,2011,NOx,1444.5266444770498
190,2011,NMVOC,1272.6487324992174
191,2011,SO2,389.300412318831
192,2011,NH3,624.7644058004677
193,2011,PM2.5,114.94700938243643
194,2011,PM10,226.59441940688032
195,2011,TSP,399.77977029248535
196,2011,BC,20.98429192514302
197,2011,CO,3550.228046984154
198,2012,NOx,1436.0628492355486
199,2012,NMVOC,1256.8374038597008
200,2012,SO2,371.9082230424627
201,2012,NH3,630.5965996439621
202,2012,PM2.5,113.5293907415805
203,2012,PM10,224.28998891030116
204,2012,TSP,396.23446578876747
205,2012,BC,19.641483286775276
206,2012,CO,3291.185257470099
207,2013,NOx,1436.364017193873
208,2013,NMVOC,1212.4080510585331
209,2013,SO2,360.52011167392766
210,2013,NH3,636.9889438507585
211,2013,PM2.5,111.73737076332394
212,2013,PM10,225.59552282968372
213,2013,TSP,405.7707758920136
214,2013,BC,18.72359263962148
215,2013,CO,3252.142065205087
216,2014,NOx,1391.552478740581
217,2014,NMVOC,1173.859509347206
218,2014,SO2,339.28539081409
219,2014,NH3,644.6964340294026
220,2014,PM2.5,103.95849881348727
221,2014,PM10,217.54021444031645
222,2014,TSP,396.4421921662109
223,2014,BC,16.953514101220346
224,2014,CO,3088.6190392465005
225,2015,NOx,1363.9002366348861
226,2015,NMVOC,1147.2841496093397
227,2015,SO2,336.0017763294836
228,2015,NH3,640.6904479468075
229,2015,PM2.5,102.51732915433236
230,2015,PM10,214.2005464072293
231,2015,TSP,387.7284180014906
232,2015,BC,15.899907744834747
233,2015,CO,3189.9754466117806
234,2016,NOx,1340.6236581899768
235,2016,NMVOC,1141.9213054408415
236,2016,SO2,311.5256958813721
237,2016,NH3,638.2005667369847
238,2016,PM2.5,96.94008724467521
239,2016,PM10,199.61309276621756
240,2016,TSP,360.9233364083048
241,2016,BC,14.85144520604199
242,2016,CO,3060.4780572699924
243,2017,NOx,1292.312127595829
244,2017,NMVOC,1147.2697872145648
245,2017,SO2,302.89345417631046
246,2017,NH3,624.0775434574532
247,2017,PM2.5,95.73697420759912
248,2017,PM10,202.44193889202504
249,2017,TSP,373.2448911384338
250,2017,BC,13.863388796429794
251,2017,CO,3081.7386948084486
252,2018,NOx,1210.4967127088921
253,2018,NMVOC,1125.0157983345935
254,2018,SO2,291.78234438045564
255,2018,NH3,601.2418832283631
256,2018,PM2.5,94.660113989123
257,2018,PM10,207.01166765265717
258,2018,TSP,383.5349197321447
259,2018,BC,12.474793645132026
260,2018,CO,2957.8021298606786
261,2019,NOx,1136.787913619643
262,2019,NMVOC,1121.2313740844418
263,2019,SO2,263.5321708898867
264,2019,NH3,586.6856793598303
265,2019,PM2.5,91.94452874046367
266,2019,PM10,203.60723877823847
267,2019,TSP,379.547328517131
268,2019,BC,11.710836465531951
269,2019,CO,2882.7382918930994
